t,h_1,h_2,h_3
73,5.86782722125133,6.92622975363451,2.06673101556065
74,5.91542389671912,6.99682049339507,2.10756378080098
75,5.96244439290807,7.06690724366889,2.14831950094737
76,6.0088967288780095,7.136494720492459,2.1889954664190503
77,6.0547887833511,7.20558757402999,2.22958911981847
78,6.100128298005281,7.27419038977709,2.2700980470445096
79,6.14492288066476,7.3423076897460495,2.31051996901828
80,6.18918000839157,7.409943933632491,2.35085273397202
81,6.23290703048193,7.47710351996274,2.3910943102562903
82,6.276111171371349,7.543790787221731,2.4312427796246805
83,6.3187995334518705,7.61001001496117,2.47129633095911
84,6.36097909980487,7.67576542488777,2.5112532544018102
85,6.4026567368526,7.74106118193152,2.55111193586335
86,6.44383919693154,7.805901395293911,2.5908708518785497
87,6.48453312079054,7.8702901194762305,2.6305285647846497
88,6.52474504001647,7.93423135528788,2.6700837181981902
89,6.56448137939006,7.99772905083486,2.70953503276902
90,6.603748459174531,8.06078710248871,2.74888130219186
91,6.6425524973394,8.12340935583584,2.7881213894570203
92,6.680899611721821,8.18559960660763,2.8272542233238704
93,6.71879582212759,8.24736160159153,2.8662787950015
94,6.7562470523741505,8.30869903952324,2.9051941550225897
95,6.793259132277429,8.36961557196047,2.94399941029738
96,6.82983779958455,8.43011480413834,2.98269372133576
97,6.865988701854321,8.49020029580689,3.0212762996263796
98,6.90171739828722,8.54987556205081,3.05974640516251
99,6.93702936150663,8.60914407409189,3.0981033441051
100,6.971929979293,8.66800926007436,3.13634646657436
101,7.00642455627244,8.72647450583349,3.17447516456163
102,7.04051831556136,8.7845431556478,3.2124888699540097
103,7.07421640036846,8.84221851297506,3.2503870526647
104,7.1075238755557,8.89950384117264,3.28816921886256
105,7.14044572915929,8.95640236420228,3.3258349092949104
106,7.17298687387229,9.01291726731982,3.36338369769772
107,7.2051521484898196,9.069051697749961,3.40081518928819
108,7.2369463193182,9.12480876534666,3.43812901933465
109,7.26837408154913,9.18019154323925,3.4753248517993303
110,7.299440060599969,9.235203068464688,3.51240237804967
111,7.33014881342128,9.289846342586198,3.54936131563428
112,7.36050482977249,9.34412433229871,3.58620140711971
113,7.390512533466799,9.39803997002119,3.62292241898479
114,7.42017628358621,9.451596154476428,3.6595241405690198
115,7.44950037566758,9.50479575125835,3.69600638307221
116,7.47848904286058,9.557641593387169,3.7323689786023997
117,7.50714645705843,9.61013648185283,3.7686117792693996
118,7.535476730002179,9.66228318614676,3.80473465632159
119,7.563483914359351,9.71408444478242,3.8407374993234105
120,7.5911720047776,9.765542965804789,3.87662021537157
121,7.61854493891438,9.81666142728907,3.9123827283477497
122,7.645606598442909,9.86744247782886,3.94802497820599
123,7.6723608100355305,9.91788873701415,3.98354692029281
124,7.698811346324789,9.96800279589912,4.01894852469845
125,7.72496192684312,10.0177872174603,4.05422977563762
126,7.7508162189415,10.067244537045198,4.089390670858109
127,7.77637783868788,10.116377262811099,4.12443122107603
128,7.80165035174584,10.165187876155901,4.1593514494361905
129,7.82663727423399,10.2136788321384,4.19415139099637
130,7.851342073566769,10.261852559891599,4.22883109223437
131,7.87576816927706,10.3097114630261,4.26339061057656
132,7.8999189338211,10.3572579200261,4.29783001394705
133,7.923797693366231,10.4044942846373,4.33214938033629
134,7.94740772856194,10.451422886246199,4.36634879738829
135,7.97075227529462,10.4980460302521,4.40042836200546
136,7.9938345254264105,10.5443659984324,4.434388179970321
137,8.01665762751872,10.5903850492986,4.46822836558317
138,8.039224687540669,10.6361054184473,4.50194904131504
139,8.06153876956287,10.6815293189027,4.5355503374751605
140,8.083602896437059,10.7266589414526,4.56903239189229
141,8.10542005046176,10.7714964549785,4.602395349609241
142,8.12699317403443,10.816044006777698,4.63563936259
143,8.14832517029049,10.860303722880499,4.66876458943887
144,8.16941890372943,10.9042777083603,4.70177119513103
145,8.19027720082847,10.9479680476378,4.73465935075411
146,8.21090285064396,10.991376804779598,4.76742923326016
147,8.231298605400891,11.0345060237902,4.8000810252275805
148,8.25146718107081,11.077357728899601,4.83261491463263
149,8.27141125793844,11.1199339248438,4.86503109462999
150,8.29113348115719,11.162236597141302,4.8973297633420705
151,8.31063646129399,11.204267712363801,4.92951112365661
152,8.32992277486349,11.246029218401,4.961575383032231
153,8.34899496485218,11.287523044721802,4.993522753311599
