t,h_1,h_2,h_3
0,-0.0783396882343132,0.00528240313414759,-0.0209135139296056
1,-0.0783396882343132,0.00511820011198512,-0.0209135139296056
2,-0.0607224688424523,0.00528240313414759,-0.0209135139296056
3,-0.0591831001577266,0.0180902388628199,-0.0207467147943457
4,-0.054736035068519,0.0187470509514697,-0.0125735571666124
5,-0.0494337651544638,0.0179260358406574,-0.00973797186719478
6,-0.0446446181353171,0.0215385023282316,-0.0079031813793363
7,-0.0401975530461096,0.0261361869487806,-0.0065687882972574
8,-0.0345532012021153,0.026957202059593,-0.00673558743251726
9,-0.0292509312880601,0.0282708262368927,-0.00440039953887919
10,-0.024632825233883,0.0313906836579795,-0.00573479262095809
11,-0.0195015962847973,0.0333611199239291,-0.00423360040361932
12,-0.0155676540904983,0.0369735864115033,-0.00273240818628056
13,-0.0111205890012907,0.0376303985001532,-0.00239880991576084
14,-0.00633144198214402,0.0415712710320523,0.000269976248396961
15,-0.00291062268275356,0.0427206921871896,-0.000564019427902351
16,0.00170748337142356,0.0443627224088142,0.00260516414203503
17,0.00529934363578354,0.0461689556526014,0.00177116846573572
18,0.00906224486511304,0.0515876553839627,0.00393955722411393
19,0.0124830641645035,0.0517518584061252,0.00644154425301187
20,0.0155618015339549,0.0560211369823493,0.00494035203567311
21,0.0191536617983149,0.0565137460488366,0.00777593733509077
22,0.0218903172378273,0.0586483853369487,0.00827633474087036
23,0.0244559317123701,0.0596336034699235,0.00961072782294926
24,0.0278767510117606,0.0630818669353352,0.0104447234992486
25,0.0306134064512729,0.0630818669353352,0.0121127148518472
26,0.0333500618907853,0.0696499878218338,0.0139475053397057
27,0.0364287992602367,0.071127815021296,0.0157822958275642
28,0.038481290839871,0.0740834694202204,0.0169498897743832
29,0.0419021101392614,0.0750686875531952,0.018451081991722
30,0.0437835607539262,0.0790095600850943,0.0191182785327614
31,0.0466912571584081,0.0762181087083324,0.0212866672911396
32,0.0492568716329509,0.0829504326169935,0.0236218551847777
33,0.0514804041775547,0.0850850719051055,0.024455850861077
34,0.0526776909323414,0.087712320259705,0.0267910387547151
35,0.0559274692667623,0.0873839142153801,0.0284590301073137
36,0.057466837951488,0.0900111625699795,0.0299602223246525
37,0.060716616285909,0.0929668169689039,0.0316282136772511
38,0.0614007801457871,0.0954298623013408,0.0336298033003694
39,0.0632822307604518,0.0960866743899907,0.0371325851408266
40,0.0655057633050556,0.0985497197224277,0.0372993842760864
41,0.0668740910248118,0.100191749944052,0.0367989868703068
42,0.0689265826044461,0.100520155988377,0.0379665808171259
43,0.0697817874292937,0.103804216431627,0.0391341747639449
44,0.0716632380439584,0.105446246653251,0.041469362657583
45,0.0737157296235927,0.105938855719739,0.0431373540101816
46,0.0747419754134098,0.108073495007851,0.0444717470922605
47,0.0769655079580136,0.109879728251638,0.0451389436333
48,0.0783338356777698,0.111685961495425,0.0469737341211584
49,0.0791890405026174,0.112342773584075,0.0479745289327176
50,0.0819256959421298,0.115955240071649,0.0491421228795366
51,0.0822677778720688,0.116283646115974,0.0509769133673951
52,0.0834650646268555,0.117433067271111,0.0514773107731747
53,0.0856885971714593,0.118418285404086,0.0529785029905135
54,0.086885883926246,0.120881330736523,0.0544796952078522
55,0.0870569248912155,0.122359157935985,0.0556472891546713
56,0.0889383755058802,0.124165391179772,0.0573152805072699
57,0.0896225393657583,0.125150609312747,0.0584828744540889
58,0.0909908670855145,0.127777857667346,0.059650468400908
59,0.0930433586651488,0.126628436512209,0.0606512632124672
60,0.0932143996301183,0.129255684866809,0.0614852588887665
61,0.0942406454199354,0.130733512066271,0.0631532502413651
62,0.0964641779645392,0.132047136243571,0.0641540450529243
63,0.0962931369995697,0.133032354376545,0.0653216389997433
64,0.0974904237543564,0.132211339265733,0.0664892329465623
65,0.0992008334040516,0.135823805753307,0.0679904251639011
66,0.101082284018716,0.137301632952769,0.0689912199754603
67,0.100569161123808,0.137301632952769,0.070492412192799
68,0.101082284018716,0.139436272240881,0.0711596087338385
69,0.102450611738473,0.140914099440344,0.072994399221697
70,0.103134775598351,0.142556129661968,0.0736615957627364
71,0.103818939458229,0.140749896418181,0.0746623905742956
72,0.105016226213015,0.143377144772781,0.0758299845211146
73,0.104845185248046,0.143048738728456,0.0764971810621541
74,0.106726635862711,0.147810626371167,0.0781651724147527
75,0.10689767682768,0.149452656592792,0.078999168091052
76,0.10706871779265,0.147482220326842,0.0798331637673513
77,0.109463291302223,0.149945265659279,0.0810007577141704
78,0.109976414197132,0.148139032415492,0.0821683516609894
79,0.109976414197132,0.151423092858741,0.0835027447430683
80,0.111173700951918,0.150437874725767,0.0841699412841078
81,0.111344741916888,0.152900920058204,0.0855043343661867
82,0.113226192531552,0.153229326102528,0.0865051291777458
83,0.113568274461492,0.153721935169016,0.0873391248540451
84,0.113910356391431,0.155528168412803,0.0885067188008642
85,0.11425243832137,0.154707153301991,0.0893407144771635
86,0.115449725076156,0.154542950279828,0.0903415092887227
87,0.114423479286339,0.156513386545778,0.0910087058297621
88,0.115620766041126,0.159633243966865,0.0925098980471009
89,0.116304929901004,0.160290056055514,0.0931770945881403
90,0.11767325762076,0.160290056055514,0.0943446885349594
91,0.118357421480638,0.165544552764713,0.0955122824817784
92,0.119725749200394,0.162260492321464,0.096012679887558
93,0.118870544375547,0.163738319520926,0.0975138721048967
94,0.11767325762076,0.163409913476601,0.0988482651869756
95,0.119554708235425,0.165216146720388,0.099682260863275
96,0.120238872095303,0.162424695343627,0.100849854810094
97,0.120238872095303,0.164230928587414,0.101350252215874
98,0.121094076920151,0.16800759809715,0.101850649621653
99,0.121949281744998,0.167186582986338,0.103185042703732
100,0.121949281744998,0.16932122227445,0.10552023059737
101,0.123146568499785,0.168336004141475,0.10518663232685
102,0.123317609464754,0.170470643429587,0.106354226273669
103,0.124001773324632,0.171784267606887,0.10618742713841
104,0.12502801911445,0.169157019252288,0.107855418491008
105,0.124001773324632,0.172933688762024,0.109023012437827
106,0.12485697814948,0.173590500850674,0.110190606384646
107,0.12502801911445,0.172441079695537,0.111024602060946
108,0.126396346834206,0.17063484645175,0.112859392548804
109,0.126054264904267,0.171620064584725,0.112692593413544
110,0.125883223939297,0.175068328050136,0.113359789954584
111,0.126909469729114,0.178516591515548,0.116028576118741
112,0.127080510694084,0.177038764316086,0.116028576118741
113,0.127422592624023,0.179830215692848,0.116195375254001
114,0.127593633588992,0.175560937116624,0.116862571795041
115,0.127935715518931,0.173754703872837,0.11819696487712
116,0.129304043238688,0.177859779426898,0.119030960553419
117,0.129304043238688,0.176053546183111,0.119197759688679
118,0.12861987937881,0.178844997559873,0.121032550176537
119,0.128790920343779,0.180322824759335,0.121366148447057
120,0.12844883841384,0.17933760662636,0.123034139799656
121,0.128790920343779,0.17999441871501,0.123034139799656
122,0.129646125168627,0.179666012670685,0.124535332016994
123,0.131185493853352,0.178844997559873,0.122700541529136
124,0.131356534818322,0.182785870091772,0.123534537205435
125,0.130843411923413,0.185741524490697,0.126370122504853
126,0.129646125168627,0.179666012670685,0.125869725099073
127,0.129646125168627,0.184263697291234,0.127037319045892
128,0.1320406986782,0.183935291246909,0.129205707804271
129,0.13186965771323,0.185905727512859,0.12937250693953
130,0.130843411923413,0.184592103335559,0.131040498292129
131,0.132382780608139,0.185577321468534,0.128371712127971
132,0.132724862538078,0.186069930535021,0.13054010088635
133,0.133066944468017,0.184756306357722,0.133375686185767
134,0.132553821573109,0.186398336579346,0.133542485321027
135,0.131014452888383,0.187711960756646,0.132374891374208
136,0.132553821573109,0.186726742623671,0.132875288779988
137,0.132382780608139,0.189025584933946,0.134876878403106
138,0.133066944468017,0.186069930535021,0.133709284456287
139,0.132382780608139,0.190996021199895,0.135210476673626
140,0.134264231222804,0.192473848399358,0.136211271485185
141,0.133066944468017,0.193130660488007,0.134876878403106
142,0.13563255894256,0.189682397022596,0.135377275808886
143,0.13186965771323,0.188861381911783,0.138379660243563
144,0.135119436047651,0.192145442355033,0.140548049001941
145,0.133922149292865,0.189682397022596,0.140214450731422
146,0.134264231222804,0.19132442724422,0.137879262837783
147,0.135119436047651,0.192802254443683,0.140214450731422
148,0.136145681837469,0.19066761515557,0.135210476673626
149,0.13563255894256,0.192966457465845,0.14171564294876
150,0.134606313152743,0.19066761515557,0.143050036030839
151,0.13546151797759,0.192966457465845,0.142883236895579
152,0.136145681837469,0.193459066532332,0.141382044678241
153,0.13580359990753,0.19198123933287,0.145051625653958
154,0.133409026397956,0.193787472576657,0.144718027383438
